speaker,speech_len
SLAVICA RADOVANOVIĆ,54
MILENKO JOVANOV,98
SLAVICA RADOVANOVIĆ,16
MILENKO JOVANOV,1876
BORISLAV NOVAKOVIĆ,105
MILENKO JOVANOV,226
BORISLAV NOVAKOVIĆ,14
MILENKO JOVANOV,14
BORISLAV NOVAKOVIĆ,5
MILENKO JOVANOV,1651
BORISLAV NOVAKOVIĆ,8
STOJAN RADENOVIĆ,7
BORISLAV NOVAKOVIĆ,47
STOJAN RADENOVIĆ,300
BORISLAV NOVAKOVIĆ,15
STOJAN RADENOVIĆ,100
BORISLAV NOVAKOVIĆ,73
STOJAN RADENOVIĆ,336
ALEKSANDAR JOVANOVIĆ,46
STOJAN RADENOVIĆ,27
ALEKSANDAR JOVANOVIĆ,39
STOJAN RADENOVIĆ,70
ALEKSANDAR JOVANOVIĆ,16
STOJAN RADENOVIĆ,65
ŽIVOTA STARČEVIĆ,14918
STOJAN RADENOVIĆ,289
BORKO STEFANOVIĆ,646
STOJAN RADENOVIĆ,34
BORKO STEFANOVIĆ,186
STOJAN RADENOVIĆ,62
BORKO STEFANOVIĆ,536
STOJAN RADENOVIĆ,27
BORKO STEFANOVIĆ,141
STOJAN RADENOVIĆ,83
BORKO STEFANOVIĆ,3
STOJAN RADENOVIĆ,39
RADOSLAV MILOJIČIĆ,1562
STOJAN RADENOVIĆ,52
MILENKO JOVANOV,10526
STOJAN RADENOVIĆ,31
BALINT PASTOR,5794
STOJAN RADENOVIĆ,266
MILENKO JOVANOV,3841
STOJAN RADENOVIĆ,67
BRANIMIR JOVANOVIĆ,7759
STOJAN RADENOVIĆ,33
MILENKO JOVANOV,5297
MILENKO JOVANOV,2145
BORISLAV NOVAKOVIĆ,20
MILENKO JOVANOV,309
BORISLAV NOVAKOVIĆ,30
MILENKO JOVANOV,896
STOJAN RADENOVIĆ,66
ALEKSANDAR PAVIĆ,4124
STOJAN RADENOVIĆ,47
MILENKO JOVANOV,5984
STOJAN RADENOVIĆ,66
STEFAN KRKOBABIĆ,1444
ALEKSANDAR JOVANOVIĆ,17
STEFAN KRKOBABIĆ,3362
STOJAN RADENOVIĆ,61
MILENKO JOVANOV,2963
ALEKSANDAR JOVANOVIĆ,7
MILENKO JOVANOV,528
ALEKSANDAR JOVANOVIĆ,15
MILENKO JOVANOV,175
ALEKSANDAR JOVANOVIĆ,30
MILENKO JOVANOV,53
ALEKSANDAR JOVANOVIĆ,17
MILENKO JOVANOV,2039
ALEKSANDAR JOVANOVIĆ,7
MILENKO JOVANOV,1121
STOJAN RADENOVIĆ,33
BRANKO PAVLOVIĆ,10295
STOJAN RADENOVIĆ,62
MILENKO JOVANOV,8011
STOJAN RADENOVIĆ,87
ANA BRNABIĆ,1645
STOJAN RADENOVIĆ,207
ZDRAVKO PONOŠ,2713
STOJAN RADENOVIĆ,15
ZDRAVKO PONOŠ,12543
STOJAN RADENOVIĆ,56
RADOSLAV MILOJIČIĆ,1636
STOJAN RADENOVIĆ,80
ŽIKA GOJKOVIĆ,432
STOJAN RADENOVIĆ,89
ANA BRNABIĆ,1603
STOJAN RADENOVIĆ,65
MILENKO JOVANOV,3134
MILENKO JOVANOV,8442
ZDRAVKO PONOŠ,18
MILENKO JOVANOV,3826
STOJAN RADENOVIĆ,172
STOJAN RADENOVIĆ,1320
BILJANA ĐORĐEVIĆ,11712
STOJAN RADENOVIĆ,72
VLADIMIR ORLIĆ,2389
STOJAN RADENOVIĆ,66
ANA BRNABIĆ,2218
STOJAN RADENOVIĆ,73
DOBRICA VESELINOVIĆ,944
STOJAN RADENOVIĆ,53
VLADIMIR ORLIĆ,2259
STOJAN RADENOVIĆ,74
BORISLAV NOVAKOVIĆ,46
MILENKO JOVANOV,26
BORISLAV NOVAKOVIĆ,14
MILENKO JOVANOV,78
STOJAN RADENOVIĆ,20
BORISLAV NOVAKOVIĆ,138
STOJAN RADENOVIĆ,230
MARINIKA TEPIĆ,6
STOJAN RADENOVIĆ,22
BORISLAV NOVAKOVIĆ,80
STOJAN RADENOVIĆ,54
MARINIKA TEPIĆ,19
STOJAN RADENOVIĆ,72
BORISLAV NOVAKOVIĆ,19
STOJAN RADENOVIĆ,40
MARINIKA TEPIĆ,45
STOJAN RADENOVIĆ,31
BORISLAV NOVAKOVIĆ,222
STOJAN RADENOVIĆ,85
BORISLAV NOVAKOVIĆ,32
STOJAN RADENOVIĆ,187
MARINIKA TEPIĆ,14
STOJAN RADENOVIĆ,76
MARINIKA TEPIĆ,28
STOJAN RADENOVIĆ,114
MARINIKA TEPIĆ,8
MILENKO JOVANOV,475
STOJAN RADENOVIĆ,138
STOJAN RADENOVIĆ,46
MILENKO JOVANOV,12403
STOJAN RADENOVIĆ,248
MIROSLAV ALEKSIĆ,1618
STOJAN RADENOVIĆ,190
VLADIMIR ORLIĆ,1457
STOJAN RADENOVIĆ,61
MARINIKA TEPIĆ,2090
STOJAN RADENOVIĆ,126
VLADIMIR ORLIĆ,1043
STOJAN RADENOVIĆ,66
MILENKO JOVANOV,8944
ĐORĐE PAVIĆEVIĆ,19
MILENKO JOVANOV,1248
STOJAN RADENOVIĆ,120
MARINIKA TEPIĆ,1980
STOJAN RADENOVIĆ,69
RADOSLAV MILOJIČIĆ,1254
STOJAN RADENOVIĆ,34
MILENKO JOVANOV,2976
STOJAN RADENOVIĆ,52
ANA BRNABIĆ,1251
STOJAN RADENOVIĆ,89
MILOŠ JOVANOVIĆ,14273
STOJAN RADENOVIĆ,129
VLADIMIR ĐUKANOVIĆ,1399
STOJAN RADENOVIĆ,143
NATAŠA JOVANOVIĆ,2438
STOJAN RADENOVIĆ,6
NATAŠA JOVANOVIĆ,95
STOJAN RADENOVIĆ,108
MILOLJUB ALBIJANIĆ,1587
STOJAN RADENOVIĆ,16
MILOLJUB ALBIJANIĆ,232
STOJAN RADENOVIĆ,17
MILOLJUB ALBIJANIĆ,6
STOJAN RADENOVIĆ,76
BORKO STEFANOVIĆ,1387
STOJAN RADENOVIĆ,112
STOJAN RADENOVIĆ,131
NEBOJŠA BAKAREC,1349
STOJAN RADENOVIĆ,51
NEBOJŠA BAKAREC,182
NENAD TOMAŠEVIĆ,86
STOJAN RADENOVIĆ,8
NENAD TOMAŠEVIĆ,1086
STOJAN RADENOVIĆ,101
MARIJAN RISTIČEVIĆ,1752
STOJAN RADENOVIĆ,103
BILJANA PANTIĆ PILJA,1936
STOJAN RADENOVIĆ,79
GORAN RAKIĆ,412
ALEKSANDAR JOVANOVIĆ,18
GORAN RAKIĆ,1172
STOJAN RADENOVIĆ,6
GORAN RAKIĆ,131
STOJAN RADENOVIĆ,22
GORAN RAKIĆ,360
STOJAN RADENOVIĆ,30
GORAN RAKIĆ,55
STOJAN RADENOVIĆ,43
VLADIMIR ORLIĆ,3853
STOJAN RADENOVIĆ,81
MILOŠ JOVANOVIĆ,1436
STOJAN RADENOVIĆ,62
ANA BRNABIĆ,1681
STOJAN RADENOVIĆ,43
PREDRAG MARSENIĆ,15
MILENKO JOVANOV,94
PREDRAG MARSENIĆ,5
MILENKO JOVANOV,4840
MILOŠ JOVANOVIĆ,20
MILENKO JOVANOV,4646
STOJAN RADENOVIĆ,78
IVICA DAČIĆ,7922
DOBRICA VESELINOVIĆ,8
IVICA DAČIĆ,231
DOBRICA VESELINOVIĆ,26
IVICA DAČIĆ,5166
STOJAN RADENOVIĆ,72
DOBRICA VESELINOVIĆ,19
STOJAN RADENOVIĆ,187
MIROSLAV ALEKSIĆ,13002
STOJAN RADENOVIĆ,47
RADOSLAV MILOJIČIĆ,2530
STOJAN RADENOVIĆ,100
ĐORĐE KOMLENSKI,1610
STOJAN RADENOVIĆ,2339
VLADIMIR ORLIĆ,3614
STOJAN RADENOVIĆ,58
ANA BRNABIĆ,1498
STOJAN RADENOVIĆ,130
BILJANA ĐORĐEVIĆ,905
STOJAN RADENOVIĆ,452
MILENKO JOVANOV,2295
ĐORĐE PAVIĆEVIĆ,18
MILENKO JOVANOV,7404
STOJAN RADENOVIĆ,72
ĐORĐE STANKOVIĆ,8
STOJAN RADENOVIĆ,446
MARINIKA TEPIĆ,30
STOJAN RADENOVIĆ,542
ĐORĐE STANKOVIĆ,51
STOJAN RADENOVIĆ,675
ĐORĐE STANKOVIĆ,127
STOJAN RADENOVIĆ,59
MIROSLAV ALEKSIĆ,1710
STOJAN RADENOVIĆ,47
MILENKO JOVANOV,3282
STOJAN RADENOVIĆ,45
ANA BRNABIĆ,1264
STOJAN RADENOVIĆ,60
VLADIMIR ORLIĆ,2119
STOJAN RADENOVIĆ,36
DRAGAN ĐILAS,11776
STOJAN RADENOVIĆ,72
DEJAN BULATOVIĆ,1776
STOJAN RADENOVIĆ,43
DEJAN BULATOVIĆ,9
STOJAN RADENOVIĆ,47
DEJAN BULATOVIĆ,6
STOJAN RADENOVIĆ,60
RADOSLAV MILOJIČIĆ,2381
STOJAN RADENOVIĆ,62
MARINIKA TEPIĆ,1606
STOJAN RADENOVIĆ,547
MARINIKA TEPIĆ,10
STOJAN RADENOVIĆ,1579
ANA BRNABIĆ,1787
STOJAN RADENOVIĆ,32
VLADIMIR ORLIĆ,2480
STOJAN RADENOVIĆ,46
SNEŽANA PAUNOVIĆ,1251
STOJAN RADENOVIĆ,53
DRAGAN ĐILAS,1258
STOJAN RADENOVIĆ,56
MARIJAN RISTIČEVIĆ,1588
STOJAN RADENOVIĆ,35
ALEKSANDAR JOVANOVIĆ,85
STOJAN RADENOVIĆ,27
ALEKSANDAR JOVANOVIĆ,115
STOJAN RADENOVIĆ,22
ALEKSANDAR JOVANOVIĆ,143
STOJAN RADENOVIĆ,77
ALEKSANDAR JOVANOVIĆ,86
STOJAN RADENOVIĆ,35
VLADIMIR ORLIĆ,1937
STOJAN RADENOVIĆ,90
MILENKO JOVANOV,1248
BORISLAV NOVAKOVIĆ,22
MILENKO JOVANOV,91
BORISLAV NOVAKOVIĆ,36
MILENKO JOVANOV,4801
BORISLAV NOVAKOVIĆ,22
MILENKO JOVANOV,83
BORISLAV NOVAKOVIĆ,53
MILENKO JOVANOV,172
STOJAN RADENOVIĆ,27
MILENKO JOVANOV,2096
ALEKSANDAR JOVANOVIĆ,21
MILENKO JOVANOV,4245
ALEKSANDAR JOVANOVIĆ,19
MILENKO JOVANOV,119
ALEKSANDAR JOVANOVIĆ,79
MILENKO JOVANOV,1283
STOJAN RADENOVIĆ,97
STOJAN RADENOVIĆ,316
VLADIMIR ORLIĆ,13516
STOJAN RADENOVIĆ,57
MILENKO JOVANOV,4584
STOJAN RADENOVIĆ,624
STOJAN RADENOVIĆ,1361
USAME ZUKORLIĆ,2729
STOJAN RADENOVIĆ,70
MILICA MARUŠIĆ JABLANOVIĆ,2630
STOJAN RADENOVIĆ,70
MARIJA JEVĐIĆ,2507
STOJAN RADENOVIĆ,58
MUAMER BAČEVAC,6234
STOJAN RADENOVIĆ,98
BRANKO PAVLOVIĆ,6356
STOJAN RADENOVIĆ,74
BRANKO PAVLOVIĆ,34
STOJAN RADENOVIĆ,39
BRANKO PAVLOVIĆ,27
STOJAN RADENOVIĆ,88
BRANKO PAVLOVIĆ,95
STOJAN RADENOVIĆ,9
BRANKO PAVLOVIĆ,10
STOJAN RADENOVIĆ,48
MILENKO JOVANOV,8608
STOJAN RADENOVIĆ,71
SNEŽANA PAUNOVIĆ,10940
STOJAN RADENOVIĆ,380
STEFAN JANJIĆ,3130
STOJAN RADENOVIĆ,50
VLADIMIR ORLIĆ,2365
STOJAN RADENOVIĆ,68
MILENKO JOVANOV,6363
ALEKSANDAR JOVANOVIĆ,15
MILENKO JOVANOV,554
ALEKSANDAR JOVANOVIĆ,19
MILENKO JOVANOV,643
STOJAN RADENOVIĆ,105
NATALIJA STOJMENOVIĆ,3731
STOJAN RADENOVIĆ,41
ANA BRNABIĆ,1759
STOJAN RADENOVIĆ,67
VLADIMIR ORLIĆ,2317
STOJAN RADENOVIĆ,108
MARIJA ZDRAVKOVIĆ,1521
STOJAN RADENOVIĆ,882
BORKO STEFANOVIĆ,700
STOJAN RADENOVIĆ,760
ZLATIBOR LONČAR,976
STOJAN RADENOVIĆ,87
MARINIKA TEPIĆ,1138
STOJAN RADENOVIĆ,21
MARINIKA TEPIĆ,218
STOJAN RADENOVIĆ,55
DEJAN BULATOVIĆ,2162
STOJAN RADENOVIĆ,665
STOJAN RADENOVIĆ,49
MILENKO JOVANOV,636
STOJAN RADENOVIĆ,51
ALEKSANDAR MIRKOVIĆ,6805
STOJAN RADENOVIĆ,58
NENAD TOMAŠEVIĆ,5437
STOJAN RADENOVIĆ,55
MARKO ATLAGIĆ,2547
STOJAN RADENOVIĆ,47
MARKO ATLAGIĆ,148
STOJAN RADENOVIĆ,34
GORAN RAKIĆ,1738
STOJAN RADENOVIĆ,70
PREDRAG MARSENIĆ,104
STOJAN RADENOVIĆ,53
ŽELJKO VESELINOVIĆ,1637
STOJAN RADENOVIĆ,51
VLADIMIR ORLIĆ,2018
STOJAN RADENOVIĆ,47
STEFAN KRKOBABIĆ,825
STOJAN RADENOVIĆ,54
ANA BRNABIĆ,1330
STOJAN RADENOVIĆ,46
MILENKO JOVANOV,4201
NENAD TOMAŠEVIĆ,26
MILENKO JOVANOV,2311
MILENKO JOVANOV,1124
STOJAN RADENOVIĆ,95
MIROSLAV ALEKSIĆ,1236
ANA BRNABIĆ,250
PREDRAG MARSENIĆ,32
BORKO STEFANOVIĆ,186
PREDRAG MARSENIĆ,65
STOJAN RADENOVIĆ,120
STOJAN RADENOVIĆ,841
STOJAN RADENOVIĆ,56
MARIJAN RISTIČEVIĆ,1406
STOJAN RADENOVIĆ,88
ZAGORKA ALEKSIĆ,226
NENAD TOMAŠEVIĆ,50
ZAGORKA ALEKSIĆ,89
STOJAN RADENOVIĆ,21
ZAGORKA ALEKSIĆ,2517
STOJAN RADENOVIĆ,27
ZAGORKA ALEKSIĆ,425
STOJAN RADENOVIĆ,52
BORISLAV NOVAKOVIĆ,3829
STOJAN RADENOVIĆ,69
BILJANA PANTIĆ PILJA,1899
STOJAN RADENOVIĆ,43
MILOŠ VUČEVIĆ,587
BORISLAV NOVAKOVIĆ,28
MILOŠ VUČEVIĆ,341
BORISLAV NOVAKOVIĆ,47
MILOŠ VUČEVIĆ,58
BORISLAV NOVAKOVIĆ,39
MILOŠ VUČEVIĆ,57
BORISLAV NOVAKOVIĆ,68
MILOŠ VUČEVIĆ,45
BORISLAV NOVAKOVIĆ,17
MILOŠ VUČEVIĆ,201
BORISLAV NOVAKOVIĆ,24
MILOŠ VUČEVIĆ,51
BORISLAV NOVAKOVIĆ,82
STOJAN RADENOVIĆ,22
MILOŠ VUČEVIĆ,793
BORISLAV NOVAKOVIĆ,82
MILOŠ VUČEVIĆ,361
STOJAN RADENOVIĆ,64
VLADIMIR ORLIĆ,1222
BORISLAV NOVAKOVIĆ,15
VLADIMIR ORLIĆ,65
BORISLAV NOVAKOVIĆ,37
VLADIMIR ORLIĆ,868
STOJAN RADENOVIĆ,61
MILENKO JOVANOV,1115
ALEKSANDAR JOVANOVIĆ,20
MILENKO JOVANOV,132
ALEKSANDAR JOVANOVIĆ,16
MILENKO JOVANOV,143
ALEKSANDAR JOVANOVIĆ,12
MILENKO JOVANOV,1069
ALEKSANDAR JOVANOVIĆ,14
MILENKO JOVANOV,570
BORISLAV NOVAKOVIĆ,24
MILENKO JOVANOV,68
ALEKSANDAR JOVANOVIĆ,21
MILENKO JOVANOV,258
BORISAV KOVAČEVIĆ,32
MILENKO JOVANOV,281
BORISLAV NOVAKOVIĆ,40
MILENKO JOVANOV,714
BORISLAV NOVAKOVIĆ,10
MILENKO JOVANOV,373
BORISLAV NOVAKOVIĆ,45
MILENKO JOVANOV,65
BORISLAV NOVAKOVIĆ,41
MILENKO JOVANOV,15
BORISLAV NOVAKOVIĆ,24
MILENKO JOVANOV,2549
BORISLAV NOVAKOVIĆ,32
MILENKO JOVANOV,291
BORISLAV NOVAKOVIĆ,39
MILENKO JOVANOV,776
STOJAN RADENOVIĆ,100
BALINT PASTOR,1701
STOJAN RADENOVIĆ,60
VEROLJUB ARSIĆ,5589
STOJAN RADENOVIĆ,91
NATAŠA JOVANOVIĆ,8231
STOJAN RADENOVIĆ,65
GORAN PETKOVIĆ,1038
STOJAN RADENOVIĆ,51
ANA BRNABIĆ,740
STOJAN RADENOVIĆ,64
JELENA PAVLOVIĆ,4662
STOJAN RADENOVIĆ,45
MILENKO JOVANOV,738
ALEKSANDAR JOVANOVIĆ,19
MILENKO JOVANOV,2069
STOJAN RADENOVIĆ,80
TIJANA PERIĆ DILIGENSKI,3241
STOJAN RADENOVIĆ,72
ŽIVOTA STARČEVIĆ,1513
STOJAN RADENOVIĆ,62
NATAŠA JOVANOVIĆ,2547
STOJAN RADENOVIĆ,52
ANA BRNABIĆ,1584
STOJAN RADENOVIĆ,79
ZDRAVKO PONOŠ,1282
STOJAN RADENOVIĆ,49
NATAŠA JOVANOVIĆ,1817
STOJAN RADENOVIĆ,53
VLADIMIR ORLIĆ,2785
STOJAN RADENOVIĆ,47
MILENKO JOVANOV,4714
STOJAN RADENOVIĆ,56
TATJANA MACURA,5394
ALEKSANDAR JOVANOVIĆ,38
TATJANA MACURA,13645
STOJAN RADENOVIĆ,114
MILIJA MILETIĆ,2903
STOJAN RADENOVIĆ,38
ALEKSANDAR JOVANOVIĆ,19
STOJAN RADENOVIĆ,93
ROBERT KOZMA,2974
STOJAN RADENOVIĆ,67
MILENKO JOVANOV,4066
BORISLAV NOVAKOVIĆ,25
MILENKO JOVANOV,11
BORISLAV NOVAKOVIĆ,11
MILENKO JOVANOV,1215
STOJAN RADENOVIĆ,58
ZORAN SANDIĆ,6406
STOJAN RADENOVIĆ,53
VLADIMIR ORLIĆ,3737
STOJAN RADENOVIĆ,63
MILENKO JOVANOV,428
BORISLAV NOVAKOVIĆ,13
MILENKO JOVANOV,235
BORISLAV NOVAKOVIĆ,35
MILENKO JOVANOV,4579
STOJAN RADENOVIĆ,76
ZORAN SANDIĆ,8
STOJAN RADENOVIĆ,244
ALEKSANDAR MARKOVIĆ,4524
STOJAN RADENOVIĆ,48
SLAVICA RADOVANOVIĆ,3216
STOJAN RADENOVIĆ,55
PAVLE GRBOVIĆ,6377
STOJAN RADENOVIĆ,411
RADOSLAV MILOJIČIĆ,1158
STOJAN RADENOVIĆ,83
SNEŽANA PAUNOVIĆ,1614
STOJAN RADENOVIĆ,1837
ANA BRNABIĆ,1625
STOJAN RADENOVIĆ,34
MILENKO JOVANOV,3213
STOJAN RADENOVIĆ,996
VERICA JOVANOVIĆ,1809
STOJAN RADENOVIĆ,35
VERICA MILANOVIĆ,153
STOJAN RADENOVIĆ,57
BOGDAN RADOVANOVIĆ,1360
STOJAN RADENOVIĆ,35
BOGDAN RADOVANOVIĆ,607
STOJAN RADENOVIĆ,102
ANA BRNABIĆ,1308
STOJAN RADENOVIĆ,74
MILOŠ PARANDILOVIĆ,1972
STOJAN RADENOVIĆ,51
MILOŠ PARANDILOVIĆ,245
STOJAN RADENOVIĆ,47
MILOŠ PARANDILOVIĆ,91
STOJAN RADENOVIĆ,195
VLADIMIR ORLIĆ,1244
STOJAN RADENOVIĆ,53
MILENKO JOVANOV,624
MILENKO JOVANOV,1238
STOJAN RADENOVIĆ,88
MARINIKA TEPIĆ,5743
STOJAN RADENOVIĆ,45
VLADIMIR ORLIĆ,2086
STOJAN RADENOVIĆ,573
ALEKSANDAR JOVANOVIĆ,29
ĐORĐE KOMLENSKI,7317
STOJAN RADENOVIĆ,44
ĐORĐE KOMLENSKI,118
STOJAN RADENOVIĆ,38
DANIJELA NESTOROVIĆ,593
STOJAN RADENOVIĆ,89
DANIJELA NESTOROVIĆ,667
STOJAN RADENOVIĆ,21
DANIJELA NESTOROVIĆ,4582
STOJAN RADENOVIĆ,54
BRANKO PAVLOVIĆ,4071
STOJAN RADENOVIĆ,65
ĐORĐE PAVIĆEVIĆ,4062
STOJAN RADENOVIĆ,121
MIROSLAV ALEKSIĆ,1686
STOJAN RADENOVIĆ,93
MILENKO JOVANOV,1702
STOJAN RADENOVIĆ,118
ZDRAVKO PONOŠ,1270
STOJAN RADENOVIĆ,38
ANA BRNABIĆ,1112
STOJAN RADENOVIĆ,58
ALEKSANDAR JOVANOVIĆ,553
STOJAN RADENOVIĆ,78
VLADIMIR ORLIĆ,5826
STOJAN RADENOVIĆ,181
MILENKO JOVANOV,674
ALEKSANDAR JOVANOVIĆ,18
MILENKO JOVANOV,3248
STOJAN RADENOVIĆ,148
STOJAN RADENOVIĆ,2849
SRĐAN SMILJANIĆ,6180
STOJAN RADENOVIĆ,591
ANA BRNABIĆ,5412
SRĐAN SMILJANIĆ,5436
ANA BRNABIĆ,1269
ANA BRNABIĆ,8151
STOJAN RADENOVIĆ,5861
STOJAN RADENOVIĆ,419
ALEKSANDAR MARKOVIĆ,928
STOJAN RADENOVIĆ,1855
ANA BRNABIĆ,5327
MILENKO JOVANOV,3026
ANA BRNABIĆ,131
ALEKSANDAR JOVANOVIĆ,2386
ANA BRNABIĆ,28
ALEKSANDAR JOVANOVIĆ,99
ANA BRNABIĆ,300
ALEKSANDAR JOVANOVIĆ,22
ANA BRNABIĆ,46
ALEKSANDAR JOVANOVIĆ,57
ANA BRNABIĆ,26
ALEKSANDAR JOVANOVIĆ,6906
ANA BRNABIĆ,246
ALEKSANDAR JOVANOVIĆ,23
ANA BRNABIĆ,1242
ALEKSANDAR JOVANOVIĆ,35
ANA BRNABIĆ,133
RADOMIR LAZOVIĆ,10
ANA BRNABIĆ,39
RADOMIR LAZOVIĆ,125
ANA BRNABIĆ,10
RADOMIR LAZOVIĆ,380
ANA BRNABIĆ,92
RADOMIR LAZOVIĆ,20
ANA BRNABIĆ,60
VLADIMIR ORLIĆ,1352
ALEKSANDAR JOVANOVIĆ,6
VLADIMIR ORLIĆ,1073
ANA BRNABIĆ,101
MILENKO JOVANOV,1106
ANA BRNABIĆ,60
SRĐAN MILIVOJEVIĆ,7608
ANA BRNABIĆ,61
SRĐAN MILIVOJEVIĆ,52
ANA BRNABIĆ,72
SRĐAN MILIVOJEVIĆ,19
ANA BRNABIĆ,143
SRĐAN MILIVOJEVIĆ,25
ANA BRNABIĆ,44
SRĐAN MILIVOJEVIĆ,2064
ANA BRNABIĆ,51
MILENKO JOVANOV,2618
ANA BRNABIĆ,1024
ZDRAVKO PONOŠ,5695
ANA BRNABIĆ,51
MILENKO JOVANOV,4604
ANA BRNABIĆ,212
ZDRAVKO PONOŠ,1344
ANA BRNABIĆ,18
MILENKO JOVANOV,3220
ANA BRNABIĆ,36
RADOMIR LAZOVIĆ,6087
ANA BRNABIĆ,35
MILENKO JOVANOV,4777
ANA BRNABIĆ,53
RADOMIR LAZOVIĆ,1675
ANA BRNABIĆ,52
MILENKO JOVANOV,2516
ANA BRNABIĆ,63
JELENA PAVLOVIĆ,7777
ANA BRNABIĆ,52
MILENKO JOVANOV,2288
ANA BRNABIĆ,41
MILOŠ JOVANOVIĆ,16384
ANA BRNABIĆ,201
MILENKO JOVANOV,7000
ANA BRNABIĆ,49
BORKO STEFANOVIĆ,943
ANA BRNABIĆ,605
MILOŠ JOVANOVIĆ,2073
ANA BRNABIĆ,292
MILENKO JOVANOV,1314
ANA BRNABIĆ,164
PETAR PETKOVIĆ,2603
ANA BRNABIĆ,145
ZORAN SANDIĆ,120
ANA BRNABIĆ,21
ZORAN SANDIĆ,174
ANA BRNABIĆ,80
ZORAN SANDIĆ,491
ANA BRNABIĆ,162
DRAGAN ĐILAS,13302
ANA BRNABIĆ,35
MILENKO JOVANOV,4708
RADOMIR LAZOVIĆ,14
MILENKO JOVANOV,4208
ALEKSANDAR JOVANOVIĆ,11
MILENKO JOVANOV,757
ANA BRNABIĆ,341
DRAGAN ĐILAS,1879
ANA BRNABIĆ,90
RADOMIR LAZOVIĆ,1718
ANA BRNABIĆ,24
MILENKO JOVANOV,432
ANA BRNABIĆ,65
ANA BRNABIĆ,73
MIROSLAV ALEKSIĆ,12549
ANA BRNABIĆ,320
ALEKSANDAR JOVANOVIĆ,144
MILENKO JOVANOV,3386
SRĐAN MILIVOJEVIĆ,20
MILENKO JOVANOV,1115
ANA BRNABIĆ,38
RADOMIR LAZOVIĆ,918
ANA BRNABIĆ,57
RADOMIR LAZOVIĆ,53
ANA BRNABIĆ,116
RADOMIR LAZOVIĆ,710
ANA BRNABIĆ,210
ALEKSANDAR JOVANOVIĆ,34
MILENKO JOVANOV,2192
ALEKSANDAR JOVANOVIĆ,12
MILENKO JOVANOV,162
ALEKSANDAR JOVANOVIĆ,27
MILENKO JOVANOV,145
ANA BRNABIĆ,360
MIROSLAV ALEKSIĆ,1417
ANA BRNABIĆ,16
MILENKO JOVANOV,815
ANA BRNABIĆ,52
BRANKO PAVLOVIĆ,13216
ANA BRNABIĆ,1292
AHMEDIN ŠKRIJELJ,4055
ANA BRNABIĆ,65
JELENA PAVLOVIĆ,3085
ANA BRNABIĆ,461
DANIJELA NESTOROVIĆ,4479
ANA BRNABIĆ,53
DANIJELA NESTOROVIĆ,301
ANA BRNABIĆ,245
MILENKO JOVANOV,532
ANA BRNABIĆ,52
STEFAN JANJIĆ,2311
ANA BRNABIĆ,35
